Dataset,k,L,K,T,RATIO,RECALL,AVG_TIME,COST,DATE
audio,40,2,18,24,1.00012,0.994,0.27126,0.0238971,1322.66,
audio,50,2,18,24,1.00013,0.994,0.28659,0.0247742,1322.66,
audio,60,2,18,24,1.00015,0.994167,0.29279,0.0256499,1322.66,
audio,70,2,18,24,1.00014,0.994571,0.30579,0.0264802,1322.66,
audio,80,2,18,24,1.00015,0.9945,0.31096,0.0273189,1322.66,
audio,90,2,18,24,1.00016,0.993333,0.31691,0.0281927,1322.66,
audio,100,2,18,24,1.00017,0.9939,0.33094,0.0290787,1322.66,
audio,100,2,18,0,1.00019,0.9916,0.23924,0.0263417,1322.66,
audio,1,2,18,24,1,1,0.27675,0.0203824,1322.66,
audio,10,2,18,24,1.00007,0.998,0.26787,0.0212007,1322.66,
audio,20,2,18,24,1.00009,0.9955,0.28834,0.0220953,1322.66,
audio,30,2,18,24,1.00012,0.995333,0.2682,0.0230524,1322.66,
audio,40,2,18,24,1.00013,0.99375,0.30054,0.0239438,1322.66,
audio,50,2,18,24,1.00016,0.9932,0.3382,0.024808,1322.66,
audio,60,2,18,24,1.00017,0.993833,0.31736,0.0256741,1322.66,
audio,70,2,18,24,1.00018,0.993857,0.35216,0.0265202,1322.66,
audio,80,2,18,24,1.00018,0.994125,0.35139,0.0273717,1322.66,
audio,90,2,18,24,1.00018,0.993556,0.31682,0.028235,1322.66,
audio,100,2,18,24,1.00017,0.9943,0.35112,0.029109,1322.66,
audio,100,2,18,0,1.00026,0.9905,0.24674,0.0264575,1322.66,
audio,50,2,18,0,1.00013,0.9948,0.29461,0.0264102,1322.66,
audio,1,2,18,24,1,1,0.24192,0.020363,1322.66,
audio,10,2,18,24,1,1,0.23932,0.0211737,1322.66,
audio,20,2,18,24,1.00004,0.9965,0.26017,0.0221118,1322.66,
audio,30,2,18,24,1.00007,0.997,0.26154,0.0230585,1322.66,
audio,40,2,18,24,1.00006,0.9955,0.27034,0.023933,1322.66,
audio,50,2,18,24,1.0001,0.994,0.28427,0.0247967,1322.66,
audio,60,2,18,24,1.00011,0.995167,0.31476,0.0256587,1322.66,
audio,70,2,18,24,1.00012,0.994571,0.29137,0.026513,1322.66,
audio,80,2,18,24,1.00013,0.994625,0.32108,0.0273693,1322.66,
audio,90,2,18,24,1.00013,0.994111,0.33753,0.0282348,1322.66,
audio,100,2,18,24,1.00013,0.9943,0.32924,0.0291144,1322.66,
audio,100,2,18,0,1.00022,0.9902,0.24931,0.0263724,1322.66,
audio,1,2,18,24,1,1,0.56741,0.0203744,1322.81,
audio,10,2,18,24,1.00005,0.998,0.59484,0.0211792,1322.81,
audio,20,2,18,24,1.00009,0.9955,0.5191,0.0221005,1322.81,
audio,30,2,18,24,1.00013,0.994667,0.55285,0.0230122,1322.81,
audio,40,2,18,24,1.00016,0.994,0.659,0.0239063,1322.81,
audio,50,2,18,24,1.00016,0.993,0.75429,0.0247698,1322.81,
audio,60,2,18,24,1.00018,0.993167,0.70603,0.0256471,1322.81,
audio,70,2,18,24,1.00015,0.993571,0.77889,0.026499,1322.81,
audio,80,2,18,24,1.00014,0.994125,0.66632,0.0273451,1322.81,
audio,90,2,18,24,1.00014,0.993556,0.7833,0.0282188,1322.81,
audio,100,2,18,24,1.00014,0.9942,0.67684,0.0290751,1322.81,
audio,100,2,18,0,1.00025,0.9899,0.70482,0.0263462,1322.81,
audio,1,2,18,24,1,1,0.51541,0.0203971,1322.81,
audio,10,2,18,24,1.00002,0.999,0.51518,0.0212175,1322.81,
audio,20,2,18,24,1.00006,0.996,0.61641,0.0221204,1322.81,
audio,30,2,18,24,1.00008,0.995667,0.66072,0.0230692,1322.81,
audio,40,2,18,24,1.0001,0.995,0.64872,0.0239777,1322.81,
audio,50,2,18,24,1.00011,0.9946,0.73005,0.0248344,1322.81,
audio,60,2,18,24,1.00012,0.994833,0.64143,0.0257043,1322.81,
audio,70,2,18,24,1.00012,0.994857,0.75518,0.0265477,1322.81,
audio,80,2,18,24,1.00013,0.99475,0.77478,0.0273854,1322.81,
audio,90,2,18,24,1.00014,0.994111,0.81857,0.0282501,1322.81,
audio,100,2,18,24,1.00013,0.9942,0.89683,0.0291271,1322.81,
audio,100,2,18,0,1.00026,0.9902,0.64035,0.0263733,1322.81,
audio,50,2,18,0,1.00018,0.9924,0.4903,0.0263953,1322.81,
audio,1,2,18,24,1,1,0.51457,0.0204592,1322.81,
audio,10,2,18,24,1,1,0.51095,0.021304,1322.81,
audio,20,2,18,24,1.00002,0.9975,0.52585,0.0222133,1322.81,
audio,30,2,18,24,1.00005,0.997,0.59646,0.0231389,1322.81,
audio,40,2,18,24,1.00006,0.996,0.59694,0.0240329,1322.81,
audio,50,2,18,24,1.00009,0.995,0.64707,0.0249117,1322.81,
audio,60,2,18,24,1.0001,0.995333,0.70443,0.0257672,1322.81,
audio,70,2,18,24,1.00011,0.995429,0.85702,0.0266492,1322.81,
audio,80,2,18,24,1.0001,0.9955,0.71,0.0274874,1322.81,
audio,90,2,18,24,1.00011,0.994889,0.75623,0.0283609,1322.81,
audio,100,2,18,24,1.00011,0.995,0.75035,0.029238,1322.81,
audio,100,2,18,0,1.00022,0.9901,0.56168,0.0264493,1322.81,
audio,50,2,18,0,1.00016,0.9934,0.26707,0.0264082,1322.82,
audio,1,2,18,24,1,1,0.26641,0.0203346,1322.86,
audio,10,2,18,24,1.00014,0.996,0.28232,0.021135,1322.86,
audio,20,2,18,24,1.0001,0.994,0.27601,0.0220372,1322.86,
audio,30,2,18,24,1.00014,0.994,0.30685,0.0229566,1322.86,
audio,40,2,18,24,1.00015,0.99375,0.30368,0.0238306,1322.86,
audio,50,2,18,24,1.00017,0.9932,0.35177,0.0247026,1322.86,
audio,60,2,18,24,1.00018,0.993333,0.34686,0.0256135,1322.86,
audio,70,2,18,24,1.00019,0.992714,0.35375,0.0264704,1322.86,
audio,80,2,18,24,1.00019,0.993375,0.41653,0.0273056,1322.86,
audio,90,2,18,24,1.00017,0.993667,0.36962,0.0281667,1322.86,
audio,100,2,18,24,1.00018,0.9937,0.38507,0.02905,1322.86,
audio,100,2,18,0,1.00031,0.9895,0.27991,0.0262652,1322.86,
audio,1,2,18,24,1,1,0.36794,0.0203231,1322.86,
audio,10,2,18,24,1.00007,0.998,0.28738,0.0211669,1322.86,
audio,20,2,18,24,1.00009,0.995,0.31814,0.0220878,1322.86,
audio,30,2,18,24,1.00012,0.995,0.26236,0.0230147,1322.86,
audio,40,2,18,24,1.00014,0.99325,0.34549,0.0239294,1322.86,
audio,50,2,18,24,1.00016,0.9928,0.32292,0.0247941,1322.86,
audio,60,2,18,24,1.00015,0.994,0.31925,0.0256287,1322.86,
audio,70,2,18,24,1.00015,0.994143,0.28067,0.0264896,1322.86,
audio,80,2,18,24,1.00015,0.9945,0.38136,0.0273414,1322.86,
audio,90,2,18,24,1.00014,0.994444,0.38432,0.0282215,1322.86,
audio,100,2,18,24,1.00014,0.9947,0.38586,0.0290985,1322.86,
audio,100,2,18,0,1.00026,0.9902,0.3395,0.0263327,1322.86,
audio,50,2,18,0,1.00017,0.9932,0.32274,0.0263133,1322.86,
audio,1,2,18,24,1,1,0.3102,0.0203567,1322.86,
audio,10,2,18,24,1.00006,0.998,0.28247,0.0211726,1322.86,
audio,20,2,18,24,1.00007,0.996,0.31223,0.0220815,1322.86,
audio,30,2,18,24,1.0001,0.995667,0.28941,0.0230083,1322.86,
audio,40,2,18,24,1.00009,0.99625,0.31077,0.0239356,1322.86,
audio,50,2,18,24,1.0001,0.9948,0.29621,0.0247832,1322.86,
audio,60,2,18,24,1.00011,0.994833,0.33917,0.0256412,1322.86,
audio,70,2,18,24,1.00012,0.994857,0.30471,0.0264838,1322.86,
audio,80,2,18,24,1.00013,0.995125,0.37676,0.027311,1322.86,
audio,90,2,18,24,1.00013,0.994444,0.37258,0.0282079,1322.86,
audio,100,2,18,24,1.00013,0.9946,0.41542,0.0290786,1322.86,
audio,100,2,18,0,1.00024,0.9905,0.3123,0.0262843,1322.86,
audio,1,2,18,24,1,1,0.26482,0.0203163,1322.86,
audio,10,2,18,24,1.00005,0.999,0.27055,0.021134,1322.86,
audio,20,2,18,24,1.00006,0.997,0.26978,0.0220426,1322.86,
audio,30,2,18,24,1.00007,0.997,0.3075,0.0229924,1322.86,
audio,40,2,18,24,1.00007,0.9965,0.28847,0.0238856,1322.86,
audio,50,2,18,24,1.0001,0.9954,0.3285,0.0247609,1322.86,
audio,60,2,18,24,1.00012,0.994667,0.32432,0.0256344,1322.86,
audio,70,2,18,24,1.00013,0.995143,0.36194,0.026494,1322.86,
audio,80,2,18,24,1.00014,0.994625,0.35225,0.0273346,1322.86,
audio,90,2,18,24,1.00015,0.993667,0.37249,0.0282191,1322.86,
audio,100,2,18,24,1.00015,0.9936,0.39313,0.0291046,1322.86,
audio,100,2,18,0,1.00025,0.9903,0.30472,0.0263126,1322.86,
audio,1,2,18,24,1,1,0.29066,0.0203477,1322.86,
audio,10,2,18,24,1.00006,0.998,0.28608,0.0211676,1322.86,
audio,20,2,18,24,1.00008,0.9955,0.30644,0.0220346,1322.86,
audio,30,2,18,24,1.0001,0.995333,0.32606,0.0229965,1322.86,
audio,40,2,18,24,1.00012,0.99525,0.31545,0.0238742,1322.86,
audio,50,2,18,24,1.00014,0.994,0.33083,0.0247408,1322.86,
