Dataset,k,L,K,T,RATIO,RECALL,AVG_TIME,COST,DATE
audio,100,2,18,24,1.00017,0.9943,0.52347,0.0290557,1323,
audio,100,2,18,0,1.00025,0.9911,0.46683,0.026317,1323,
audio,50,2,18,0,1.00017,0.993,0.39442,0.026229,1323,
audio,1,2,18,24,1,1,0.35882,0.0203619,1323,
audio,10,2,18,24,1.00006,0.998,0.38031,0.021185,1323,
audio,20,2,18,24,1.0001,0.994,0.39929,0.022107,1323,
audio,30,2,18,24,1.00011,0.996,0.46317,0.0230221,1323,
audio,40,2,18,24,1.00012,0.995,0.38965,0.0238893,1323,
audio,50,2,18,24,1.00014,0.9938,0.43706,0.0247414,1323,
audio,60,2,18,24,1.00015,0.993833,0.47156,0.0256165,1323,
audio,70,2,18,24,1.00016,0.994429,0.53332,0.02646,1323,
audio,80,2,18,24,1.00016,0.994875,0.63746,0.027323,1323,
audio,90,2,18,24,1.00016,0.993667,0.51704,0.0281771,1323,
audio,100,2,18,24,1.00016,0.9943,0.52231,0.0290335,1323,
audio,100,2,18,0,1.00025,0.9904,0.35873,0.026327,1323,
audio,1,2,18,24,1,1,0.41902,0.0202929,1323.01,
audio,10,2,18,24,1.00007,0.998,0.39074,0.0211067,1323.01,
audio,20,2,18,24,1.00009,0.9945,0.38467,0.0220202,1323.01,
audio,30,2,18,24,1.00014,0.994333,0.43251,0.0229502,1323.01,
audio,40,2,18,24,1.00016,0.99275,0.4294,0.0238554,1323.01,
audio,50,2,18,24,1.00016,0.9926,0.49305,0.0247098,1323.01,
audio,60,2,18,24,1.00018,0.993,0.5527,0.0255912,1323.01,
audio,70,2,18,24,1.00017,0.993714,0.58372,0.0264552,1323.01,
audio,80,2,18,24,1.00018,0.993875,0.49511,0.0273215,1323.01,
audio,90,2,18,24,1.00019,0.993222,0.48968,0.0281815,1323.01,
audio,100,2,18,24,1.0002,0.9929,0.52863,0.0290776,1323.01,
audio,100,2,18,0,1.0003,0.9894,0.40421,0.0262845,1323.01,
audio,1,2,18,24,1,1,0.38078,0.0203685,1323.01,
audio,10,2,18,24,1.00004,0.999,0.41298,0.0211778,1323.01,
audio,20,2,18,24,1.00007,0.9965,0.41615,0.0221169,1323.01,
audio,30,2,18,24,1.0001,0.996,0.42532,0.0230201,1323.01,
audio,40,2,18,24,1.00012,0.99575,0.41871,0.0239222,1323.01,
audio,50,2,18,24,1.00012,0.9954,0.4519,0.0248012,1323.01,
audio,60,2,18,24,1.0001,0.996,0.48249,0.0256394,1323.01,
audio,70,2,18,24,1.0001,0.996429,0.49155,0.0265023,1323.01,
audio,80,2,18,24,1.0001,0.996375,0.50475,0.0273599,1323.01,
audio,90,2,18,24,1.0001,0.995667,0.65302,0.0282247,1323.01,
audio,100,2,18,24,1.0001,0.9954,0.60512,0.0290751,1323.01,
audio,100,2,18,0,1.00021,0.9917,0.46649,0.026313,1323.01,
audio,50,2,18,0,1.00017,0.9932,0.39541,0.0262491,1323.01,
audio,1,2,18,24,1,1,0.4062,0.0203054,1323.01,
audio,10,2,18,24,1,1,0.39958,0.0211196,1323.01,
audio,20,2,18,24,1.00002,0.997,0.43104,0.0220018,1323.01,
audio,30,2,18,24,1.00004,0.996667,0.42616,0.0229442,1323.01,
audio,40,2,18,24,1.00008,0.9945,0.49507,0.0238513,1323.01,
audio,50,2,18,24,1.00009,0.9948,0.45307,0.0247351,1323.01,
audio,60,2,18,24,1.0001,0.994833,0.45972,0.025596,1323.01,
audio,70,2,18,24,1.00011,0.994286,0.48469,0.0264652,1323.01,
audio,80,2,18,24,1.00012,0.994125,0.52549,0.0273468,1323.01,
audio,90,2,18,24,1.00012,0.993444,0.535,0.0282249,1323.01,
audio,100,2,18,24,1.00013,0.9937,0.52055,0.0290728,1323.01,
audio,100,2,18,0,1.00021,0.9906,0.39903,0.02636,1323.01,
audio,1,2,18,24,1,1,0.38659,0.0203279,1323.01,
audio,10,2,18,24,1.00008,0.996,0.41337,0.0211554,1323.01,
audio,20,2,18,24,1.00012,0.9955,0.42524,0.022066,1323.01,
audio,30,2,18,24,1.00014,0.995667,0.45549,0.023026,1323.01,
audio,40,2,18,24,1.00015,0.994,0.44331,0.0239246,1323.01,
audio,50,2,18,24,1.00017,0.9938,0.44038,0.0247663,1323.01,
audio,60,2,18,24,1.00019,0.993833,0.50046,0.0256244,1323.01,
audio,70,2,18,24,1.00019,0.994143,0.49858,0.0264958,1323.01,
audio,80,2,18,24,1.0002,0.994625,0.4819,0.0273392,1323.01,
audio,90,2,18,24,1.00019,0.993889,0.48817,0.0282308,1323.01,
audio,100,2,18,24,1.00019,0.9942,0.54175,0.0290955,1323.01,
audio,100,2,18,0,1.00031,0.9889,0.41057,0.0262663,1323.01,
audio,1,2,18,24,1,1,0.35353,0.0203641,1323.01,
audio,10,2,18,24,1.00006,0.998,0.38177,0.0211992,1323.01,
audio,20,2,18,24,1.0001,0.994,0.3962,0.0221071,1323.01,
audio,30,2,18,24,1.00015,0.994333,0.43322,0.0230304,1323.01,
audio,40,2,18,24,1.00014,0.9945,0.45019,0.0239373,1323.01,
audio,50,2,18,24,1.00017,0.9928,0.44419,0.0248,1323.01,
audio,60,2,18,24,1.00019,0.993,0.46511,0.025677,1323.01,
audio,70,2,18,24,1.00021,0.992857,0.53359,0.0265379,1323.01,
audio,80,2,18,24,1.00019,0.99375,0.51552,0.0273815,1323.01,
audio,90,2,18,24,1.00018,0.993889,0.50522,0.0282583,1323.01,
audio,100,2,18,24,1.00017,0.9937,0.51102,0.029159,1323.01,
audio,100,2,18,0,1.00033,0.9887,0.40659,0.0262853,1323.01,
audio,50,2,18,0,1.0002,0.9938,0.4009,0.0262727,1323.01,
audio,1,2,18,24,1,1,0.34371,0.0203529,1323.01,
audio,10,2,18,24,1.00004,0.999,0.41406,0.0211702,1323.01,
audio,20,2,18,24,1.00006,0.997,0.37999,0.0220826,1323.01,
audio,30,2,18,24,1.00008,0.996667,0.45627,0.0229974,1323.01,
audio,40,2,18,24,1.0001,0.99625,0.49066,0.0239111,1323.01,
audio,50,2,18,24,1.00009,0.9954,0.46889,0.0247849,1323.01,
audio,60,2,18,24,1.00009,0.995833,0.44375,0.0256384,1323.01,
audio,70,2,18,24,1.00008,0.996286,0.4902,0.0264892,1323.01,
audio,80,2,18,24,1.00009,0.996125,0.59237,0.0273438,1323.01,
audio,90,2,18,24,1.00008,0.995556,0.5182,0.0281983,1323.01,
audio,100,2,18,24,1.00009,0.9955,0.52016,0.0291038,1323.01,
audio,100,2,18,0,1.00021,0.9918,0.40883,0.0263052,1323.01,
audio,1,2,18,24,1,1,0.3495,0.0203364,1323.01,
audio,10,2,18,24,1.00008,0.997,0.4231,0.0211604,1323.01,
audio,20,2,18,24,1.00012,0.994,0.44669,0.0220505,1323.01,
audio,30,2,18,24,1.00016,0.992667,0.46958,0.0229741,1323.01,
audio,40,2,18,24,1.00019,0.992,0.45371,0.0238509,1323.01,
audio,50,2,18,24,1.0002,0.9918,0.45658,0.0247288,1323.01,
audio,60,2,18,24,1.00017,0.994167,0.4744,0.0255927,1323.01,
audio,70,2,18,24,1.00018,0.994571,0.45938,0.0264394,1323.01,
audio,80,2,18,24,1.00017,0.99475,0.50304,0.0272916,1323.01,
audio,90,2,18,24,1.00017,0.994556,0.59006,0.028201,1323.01,
audio,100,2,18,24,1.00017,0.9947,0.54301,0.029054,1323.01,
audio,100,2,18,0,1.0003,0.9899,0.39135,0.0261993,1323.01,
audio,1,2,18,24,1,1,0.35755,0.0203165,1323.01,
audio,10,2,18,24,1.00001,0.999,0.40146,0.0211228,1323.01,
audio,20,2,18,24,1.00005,0.996,0.40127,0.0220448,1323.01,
audio,30,2,18,24,1.00008,0.996333,0.53061,0.0229872,1323.01,
audio,40,2,18,24,1.00009,0.99625,0.49591,0.0238876,1323.01,
audio,50,2,18,24,1.0001,0.9954,0.44526,0.0247449,1323.01,
audio,60,2,18,24,1.00011,0.9955,0.62138,0.0255868,1323.01,
audio,70,2,18,24,1.00012,0.995143,0.52188,0.0264525,1323.01,
audio,80,2,18,24,1.00012,0.995375,0.55447,0.0273233,1323.01,
audio,90,2,18,24,1.00013,0.995,0.49908,0.028201,1323.01,
audio,100,2,18,24,1.00013,0.9946,0.50943,0.0290904,1323.01,
audio,100,2,18,0,1.00026,0.9897,0.40052,0.0262729,1323.01,
audio,50,2,18,0,1.00015,0.9932,0.38888,0.02632,1323.01,
audio,1,2,18,24,1,1,0.31571,0.0204112,1323.01,
audio,10,2,18,24,1.00007,0.998,0.38659,0.0212407,1323.01,
audio,20,2,18,24,1.00007,0.997,0.38511,0.0221896,1323.01,
audio,30,2,18,24,1.00009,0.996,0.43276,0.0230983,1323.01,
audio,40,2,18,24,1.00012,0.995,0.45348,0.0240235,1323.01,
audio,50,2,18,24,1.00011,0.9952,0.43927,0.0248561,1323.01,
audio,60,2,18,24,1.00012,0.995167,0.48664,0.0257193,1323.01,
audio,70,2,18,24,1.00009,0.995286,0.49025,0.0265844,1323.01,
audio,80,2,18,24,1.00009,0.995625,0.47506,0.0274477,1323.01,
audio,90,2,18,24,1.0001,0.994778,0.51592,0.0283304,1323.01,
audio,100,2,18,24,1.0001,0.9949,0.51496,0.0291777,1323.01,
audio,100,2,18,0,1.00024,0.9899,0.39656,0.0264063,1323.01,
audio,1,2,18,24,1,1,0.25625,0.0203501,1324.34,
audio,10,2,18,24,1.00008,0.997,0.24638,0.0211534,1324.34,
audio,20,2,18,24,1.0001,0.995,0.2546,0.0220677,1324.34,
audio,30,2,18,24,1.00012,0.995333,0.26643,0.0229841,1324.34,
audio,40,2,18,24,1.00013,0.995,0.2405,0.0238614,1324.34,
audio,50,2,18,24,1.00015,0.9942,0.28444,0.0247425,1324.34,
audio,60,2,18,24,1.00017,0.994167,0.28514,0.0255768,1324.34,
audio,70,2,18,24,1.00018,0.993714,0.26841,0.0264558,1324.34,
audio,80,2,18,24,1.00016,0.9945,0.30856,0.0272997,1324.34,
audio,90,2,18,24,1.00017,0.994111,0.32001,0.0281999,1324.34,
audio,100,2,18,24,1.00018,0.9942,0.32829,0.0290924,1324.34,
audio,100,2,18,0,1.00024,0.9899,0.25737,0.0262596,1324.34,
audio,1,2,18,24,1,1,0.2399,0.0203137,1324.34,
audio,10,2,18,24,1.00003,0.998,0.24896,0.0211313,1324.34,
audio,20,2,18,24,1.00005,0.997,0.24416,0.0220485,1324.34,
audio,30,2,18,24,1.00005,0.997667,0.27196,0.022971,1324.34,
audio,40,2,18,24,1.00007,0.996,0.27221,0.0238714,1324.34,
audio,50,2,18,24,1.0001,0.9954,0.29552,0.0247469,1324.34,
audio,60,2,18,24,1.00011,0.995333,0.28994,0.0256148,1324.34,
audio,70,2,18,24,1.00012,0.995857,0.30144,0.026484,1324.34,
audio,80,2,18,24,1.00013,0.995375,0.31342,0.0273324,1324.34,
audio,90,2,18,24,1.00012,0.994667,0.32141,0.0282014,1324.34,
audio,100,2,18,24,1.00011,0.9951,0.32555,0.0290983,1324.34,
audio,100,2,18,0,1.00024,0.991,0.23941,0.0263375,1324.34,
audio,50,2,18,0,1.00014,0.994,0.27311,0.0263545,1324.34,
audio,1,2,18,24,1,1,0.2402,0.0203447,1324.34,
audio,10,2,18,24,1.00005,0.998,0.23131,0.0211342,1324.34,
audio,20,2,18,24,1.00006,0.9955,0.2435,0.0220641,1324.34,
audio,30,2,18,24,1.0001,0.995667,0.28009,0.0230064,1324.34,
audio,40,2,18,24,1.0001,0.99575,0.2775,0.0238797,1324.34,
audio,50,2,18,24,1.00012,0.9946,0.28214,0.0247369,1324.34,
audio,60,2,18,24,1.00012,0.994667,0.28255,0.0255969,1324.34,
audio,70,2,18,24,1.00012,0.995,0.29341,0.0264634,1324.34,
audio,80,2,18,24,1.00013,0.995125,0.2858,0.0273318,1324.34,
audio,90,2,18,24,1.00013,0.994889,0.34104,0.0281922,1324.34,
audio,100,2,18,24,1.00014,0.9947,0.34705,0.0290507,1324.34,
audio,100,2,18,0,1.00023,0.9911,0.26282,0.0263203,1324.34,
audio,1,2,18,24,1,1,0.23971,0.0203272,1324.34,
audio,10,2,18,24,1,1,0.23399,0.021159,1324.34,
audio,20,2,18,24,1.00001,0.998,0.25879,0.0220811,1324.34,
audio,30,2,18,24,1.00002,0.997667,0.266,0.0230278,1324.34,
audio,40,2,18,24,1.00005,0.99575,0.2832,0.0239242,1324.34,
audio,50,2,18,24,1.00008,0.9948,0.27116,0.0247975,1324.34,
audio,60,2,18,24,1.0001,0.9955,0.28654,0.0256761,1324.34,
audio,70,2,18,24,1.0001,0.995714,0.29734,0.0265412,1324.34,
audio,80,2,18,24,1.0001,0.9955,0.31011,0.0273966,1324.34,
audio,90,2,18,24,1.0001,0.995111,0.31466,0.0282841,1324.34,
audio,100,2,18,24,1.00011,0.9948,0.33014,0.0291101,1324.34,
audio,100,2,18,0,1.00023,0.9906,0.26442,0.026291,1324.34,
audio,1,2,18,24,1,1,0.24617,0.0203652,1324.34,
audio,10,2,18,24,1.00005,0.998,0.24693,0.0211724,1324.34,
audio,20,2,18,24,1.00008,0.9965,0.23675,0.0221023,1324.34,
audio,30,2,18,24,1.00009,0.996333,0.29104,0.0230323,1324.34,
audio,40,2,18,24,1.00011,0.99525,0.27299,0.0239201,1324.34,
audio,50,2,18,24,1.00014,0.9942,0.25807,0.0247975,1324.34,
audio,60,2,18,24,1.00015,0.994833,0.30389,0.025649,1324.34,
audio,70,2,18,24,1.00015,0.994571,0.2959,0.0264979,1324.34,
audio,80,2,18,24,1.00014,0.994625,0.30639,0.027339,1324.34,
audio,90,2,18,24,1.00015,0.994333,0.30463,0.0282485,1324.34,
audio,100,2,18,24,1.00015,0.9944,0.3291,0.0290976,1324.34,
audio,100,2,18,0,1.00024,0.9908,0.33582,0.0263355,1324.34,
audio,50,2,18,0,1.00014,0.9938,0.25799,0.0262989,1324.34,
audio,1,2,18,24,1,1,0.24043,0.0203191,1324.34,
audio,10,2,18,24,1.00004,0.998,0.25329,0.0211255,1324.34,
audio,20,2,18,24,1.00006,0.996,0.23985,0.0220328,1324.34,
audio,30,2,18,24,1.00005,0.995667,0.28873,0.0229457,1324.34,
audio,40,2,18,24,1.00008,0.9955,0.27481,0.0238533,1324.34,
audio,50,2,18,24,1.0001,0.9952,0.28208,0.0247111,1324.34,
audio,60,2,18,24,1.0001,0.9955,0.2756,0.0255668,1324.34,
audio,70,2,18,24,1.0001,0.995571,0.3105,0.0264429,1324.34,
audio,80,2,18,24,1.0001,0.9955,0.3303,0.0273173,1324.34,
audio,90,2,18,24,1.00011,0.994444,0.30147,0.0282136,1324.34,
audio,100,2,18,24,1.00012,0.9943,0.35821,0.0290861,1324.34,
audio,100,2,18,0,1.00025,0.9896,0.25961,0.026264,1324.34,
audio,1,2,18,24,1,1,0.27692,0.0203798,1324.34,
audio,10,2,18,24,1.00004,0.999,0.26342,0.0212038,1324.34,
audio,20,2,18,24,1.00005,0.996,0.28641,0.0221243,1324.34,
audio,30,2,18,24,1.00005,0.997,0.2581,0.0230537,1324.34,
audio,40,2,18,24,1.00007,0.99575,0.28789,0.0239342,1324.34,
audio,50,2,18,24,1.0001,0.9948,0.28912,0.0248122,1324.34,
audio,60,2,18,24,1.00011,0.995333,0.29568,0.0256728,1324.34,
audio,70,2,18,24,1.00011,0.995714,0.29619,0.026554,1324.34,
audio,80,2,18,24,1.00012,0.99525,0.29962,0.0274228,1324.34,
audio,90,2,18,24,1.00012,0.994778,0.33017,0.028307,1324.34,
audio,100,2,18,24,1.00012,0.9952,0.32948,0.0292098,1324.34,
audio,100,2,18,0,1.00026,0.9903,0.24541,0.0263072,1324.34,
audio,1,2,18,24,1,1,0.2181,0.0203665,1324.34,
audio,10,2,18,24,1.00004,0.999,0.28657,0.0211959,1324.34,
audio,20,2,18,24,1.00006,0.995,0.28814,0.0221151,1324.34,
audio,30,2,18,24,1.0001,0.995,0.26562,0.0230579,1324.34,
audio,40,2,18,24,1.00013,0.9945,0.26185,0.0239465,1324.34,
audio,50,2,18,24,1.00015,0.9938,0.29142,0.0247954,1324.34,
audio,60,2,18,24,1.00016,0.993667,0.29525,0.0256818,1324.34,
audio,70,2,18,24,1.00017,0.993286,0.29268,0.0265704,1324.34,
audio,80,2,18,24,1.00016,0.99375,0.3055,0.0274182,1324.34,
audio,90,2,18,24,1.00017,0.993444,0.31453,0.0282957,1324.34,
audio,100,2,18,24,1.00017,0.9936,0.3281,0.0291718,1324.34,
audio,100,2,18,0,1.00026,0.99,0.24709,0.026272,1324.34,
audio,50,2,18,0,1.00013,0.9944,0.25832,0.026358,1324.34,
audio,1,2,18,24,1,1,0.2459,0.020299,1324.34,
audio,10,2,18,24,1.00007,0.998,0.21844,0.0211027,1324.34,
audio,20,2,18,24,1.00007,0.9965,0.24908,0.0220217,1324.34,
audio,30,2,18,24,1.00009,0.995,0.25878,0.0229902,1324.34,
audio,40,2,18,24,1.0001,0.995,0.24363,0.0238653,1324.34,
audio,50,2,18,24,1.00012,0.994,0.28496,0.0247098,1324.34,
audio,60,2,18,24,1.00013,0.9945,0.307,0.025593,1324.34,
audio,70,2,18,24,1.00013,0.995143,0.31654,0.0264608,1324.34,
audio,80,2,18,24,1.00013,0.99525,0.31627,0.0273204,1324.34,
audio,90,2,18,24,1.00013,0.994778,0.31853,0.0281975,1324.34,
audio,100,2,18,24,1.00013,0.9948,0.32849,0.0290647,1324.34,
audio,100,2,18,0,1.00026,0.991,0.2515,0.0263141,1324.34,
audio,1,2,18,24,1.0006,0.99,0.24612,0.0203302,1324.34,
audio,10,2,18,24,1.00025,0.996,0.23887,0.0211409,1324.34,
audio,20,2,18,24,1.0002,0.994,0.25539,0.022033,1324.34,
audio,30,2,18,24,1.00017,0.995,0.25198,0.0229516,1324.34,
audio,40,2,18,24,1.00017,0.9945,0.26146,0.0238493,1324.34,
audio,50,2,18,24,1.00018,0.9944,0.3002,0.0247474,1324.34,
audio,60,2,18,24,1.00018,0.994833,0.28836,0.0256078,1324.34,
audio,70,2,18,24,1.00017,0.994857,0.27687,0.0264755,1324.34,
audio,80,2,18,24,1.00017,0.99475,0.31713,0.0273352,1324.34,
audio,90,2,18,24,1.00017,0.994111,0.3276,0.028199,1324.34,
audio,100,2,18,24,1.00016,0.9943,0.34928,0.029062,1324.34,
audio,100,2,18,0,1.00027,0.9903,0.25741,0.0263146,1324.34,
audio,1,2,18,24,1,1,0.2339,0.0202563,1324.34,
audio,10,2,18,24,1.00009,0.996,0.24179,0.0210809,1324.34,
audio,20,2,18,24,1.00013,0.994,0.26337,0.0220176,1324.34,
audio,30,2,18,24,1.00013,0.995,0.25456,0.0229439,1324.34,
audio,40,2,18,24,1.00012,0.99525,0.27674,0.0238565,1324.34,
audio,50,2,18,24,1.00013,0.9946,0.29189,0.0247425,1324.34,
audio,60,2,18,24,1.00013,0.995333,0.2961,0.0256198,1324.34,
audio,70,2,18,24,1.00013,0.995429,0.28109,0.0264591,1324.34,
audio,80,2,18,24,1.00013,0.9955,0.3181,0.0273252,1324.34,
audio,90,2,18,24,1.00014,0.994667,0.32293,0.0281739,1324.34,
audio,100,2,18,24,1.00014,0.9947,0.31538,0.0290343,1324.34,
audio,100,2,18,0,1.00026,0.991,0.23935,0.0262247,1324.34,
audio,50,2,18,0,1.00023,0.9932,0.2923,0.0262871,1324.34,
audio,1,2,18,24,1,1,0.23744,0.0203545,1324.34,
audio,10,2,18,24,1.00004,0.999,0.24862,0.02117,1324.34,
audio,20,2,18,24,1.00006,0.996,0.25415,0.0220889,1324.34,
audio,30,2,18,24,1.00009,0.995333,0.25978,0.0230011,1324.34,
audio,40,2,18,24,1.00008,0.9955,0.24967,0.0239212,1324.34,
audio,50,2,18,24,1.00008,0.9954,0.29404,0.0248021,1324.34,
audio,60,2,18,24,1.00009,0.995333,0.30048,0.0256862,1324.34,
audio,70,2,18,24,1.0001,0.995,0.29598,0.0265484,1324.34,
audio,80,2,18,24,1.00012,0.995,0.30215,0.0273907,1324.34,
audio,90,2,18,24,1.00012,0.994444,0.3318,0.0282955,1324.34,
audio,100,2,18,24,1.00011,0.9953,0.33678,0.02914,1324.34,
audio,100,2,18,0,1.00021,0.9911,0.26118,0.0263648,1324.34,
audio,50,2,18,0,1.00012,0.9948,0.25396,0.0264429,1324.35,
audio,1,2,18,24,1,1,0.35296,0.0203674,1324.42,
audio,10,2,18,24,1.00004,0.999,0.45519,0.0211767,1324.42,
audio,20,2,18,24,1.00008,0.995,0.49058,0.0220854,1324.42,
audio,30,2,18,24,1.0001,0.994667,0.61146,0.0230171,1324.42,
audio,40,2,18,24,1.00012,0.9945,0.47186,0.0239002,1324.42,
audio,50,2,18,24,1.00014,0.9934,0.46613,0.0247506,1324.42,
audio,60,2,18,24,1.00016,0.993667,0.45757,0.0256274,1324.42,
audio,70,2,18,24,1.00018,0.993857,0.48897,0.0264842,1324.42,
audio,80,2,18,24,1.00018,0.993875,0.49734,0.0273283,1324.42,
audio,90,2,18,24,1.00018,0.993333,0.46848,0.0282269,1324.42,
audio,100,2,18,24,1.00018,0.9935,0.5939,0.0290883,1324.42,
audio,100,2,18,0,1.00024,0.9906,0.39947,0.0263207,1324.42,
audio,1,2,18,24,1,1,0.32466,0.020384,1324.42,
audio,10,2,18,24,1.00004,0.999,0.36647,0.0212145,1324.42,
audio,20,2,18,24,1.00006,0.9975,0.40298,0.0221073,1324.42,
audio,30,2,18,24,1.00008,0.996667,0.44462,0.0230336,1324.42,
audio,40,2,18,24,1.00009,0.99575,0.52551,0.0239067,1324.42,
audio,50,2,18,24,1.00012,0.9948,0.57493,0.0247764,1324.42,
audio,60,2,18,24,1.00012,0.995167,0.46171,0.0256285,1324.42,
audio,70,2,18,24,1.00013,0.994571,0.49771,0.0265073,1324.42,
audio,80,2,18,24,1.00013,0.9945,0.46544,0.0273442,1324.42,
audio,90,2,18,24,1.00013,0.994111,0.52238,0.0282084,1324.42,
audio,100,2,18,24,1.00013,0.9946,0.55904,0.0290786,1324.42,
audio,100,2,18,0,1.00023,0.9904,0.45721,0.0262724,1324.42,
audio,50,2,18,0,1.00017,0.9938,0.3734,0.0263292,1324.42,
audio,1,2,18,24,1,1,0.37088,0.0203493,1324.42,
audio,10,2,18,24,1.00008,0.996,0.36696,0.0211637,1324.42,
audio,20,2,18,24,1.0001,0.996,0.37335,0.0220988,1324.42,
audio,30,2,18,24,1.00012,0.995333,0.40921,0.0230587,1324.42,
audio,40,2,18,24,1.00012,0.9955,0.41655,0.0239212,1324.42,
audio,50,2,18,24,1.00012,0.9952,0.44225,0.0248244,1324.42,
audio,60,2,18,24,1.00012,0.995167,0.48745,0.0256781,1324.42,
audio,70,2,18,24,1.00013,0.994714,0.58535,0.0265387,1324.42,
audio,80,2,18,24,1.00014,0.9945,0.55396,0.0273953,1324.42,
audio,90,2,18,24,1.00014,0.993889,0.48417,0.0282723,1324.42,
audio,100,2,18,24,1.00015,0.9938,0.48666,0.029142,1324.42,
audio,100,2,18,0,1.00025,0.9899,0.51897,0.0263301,1324.42,
audio,1,2,18,24,1,1,0.3559,0.0204276,1324.42,
audio,10,2,18,24,1.00004,0.999,0.38001,0.021261,1324.42,
audio,20,2,18,24,1.00005,0.9965,0.40048,0.0221496,1324.42,
audio,30,2,18,24,1.00008,0.995667,0.39109,0.0230742,1324.42,
audio,40,2,18,24,1.00011,0.994,0.54555,0.0239753,1324.42,
audio,50,2,18,24,1.00014,0.9942,0.40738,0.0248316,1324.42,
audio,60,2,18,24,1.00014,0.994833,0.45173,0.0257113,1324.42,
audio,70,2,18,24,1.00015,0.994857,0.45306,0.0265837,1324.42,
audio,80,2,18,24,1.00015,0.99475,0.48586,0.027423,1324.42,
audio,90,2,18,24,1.00015,0.994111,0.46715,0.0283029,1324.42,
audio,100,2,18,24,1.00015,0.9942,0.53911,0.0291825,1324.42,
audio,100,2,18,0,1.0003,0.9892,0.42298,0.0263476,1324.42,
audio,1,2,18,24,1,1,0.34968,0.0203344,1324.42,
audio,10,2,18,24,1.00012,0.996,0.36892,0.0211263,1324.42,
audio,20,2,18,24,1.00015,0.9945,0.37409,0.0220239,1324.42,
audio,30,2,18,24,1.00017,0.994,0.41853,0.0229374,1324.42,
audio,40,2,18,24,1.00018,0.99375,0.48469,0.0238592,1324.42,
audio,50,2,18,24,1.00018,0.993,0.45552,0.0247006,1324.42,
audio,60,2,18,24,1.00018,0.994167,0.49476,0.0255657,1324.42,
audio,70,2,18,24,1.00018,0.994,0.47835,0.0264501,1324.42,
audio,80,2,18,24,1.00019,0.9945,0.49342,0.0272986,1324.42,
audio,90,2,18,24,1.00019,0.993889,0.47799,0.0282101,1324.42,
audio,100,2,18,24,1.0002,0.9933,0.6144,0.0290834,1324.42,
audio,100,2,18,0,1.00028,0.9895,0.44034,0.0262273,1324.42,
audio,50,2,18,0,1.00015,0.9934,0.38315,0.0262993,1324.42,
audio,1,2,18,24,1,1,0.3684,0.0203425,1324.42,
audio,10,2,18,24,1.00005,0.998,0.36182,0.021163,1324.42,
audio,20,2,18,24,1.00008,0.996,0.38116,0.0220721,1324.42,
audio,30,2,18,24,1.00011,0.995333,0.38644,0.0229869,1324.42,
audio,40,2,18,24,1.00013,0.9945,0.40808,0.0239268,1324.42,
audio,50,2,18,24,1.00015,0.9934,0.4991,0.0247873,1324.42,
audio,60,2,18,24,1.00015,0.9945,0.46342,0.0256595,1324.42,
audio,70,2,18,24,1.00015,0.994286,0.49389,0.0265374,1324.42,
audio,80,2,18,24,1.00015,0.994125,0.53274,0.0274298,1324.42,
audio,90,2,18,24,1.00017,0.993444,0.52254,0.0283024,1324.42,
audio,100,2,18,24,1.00017,0.9937,0.52526,0.0291592,1324.42,
audio,100,2,18,0,1.00023,0.9902,0.38718,0.0262934,1324.42,
audio,1,2,18,24,1,1,0.34721,0.0203241,1324.42,
audio,10,2,18,24,1.00005,0.998,0.36194,0.0211409,1324.42,
audio,20,2,18,24,1.00009,0.9945,0.40196,0.022054,1324.42,
audio,30,2,18,24,1.00011,0.995,0.41527,0.0229771,1324.42,
audio,40,2,18,24,1.00012,0.99475,0.50132,0.0238884,1324.42,
audio,50,2,18,24,1.00012,0.9936,0.47915,0.0247714,1324.42,
audio,60,2,18,24,1.00014,0.993667,0.49105,0.0256226,1324.42,
audio,70,2,18,24,1.00015,0.993429,0.45959,0.0265049,1324.42,
audio,80,2,18,24,1.00016,0.993875,0.51138,0.0273553,1324.42,
audio,90,2,18,24,1.00015,0.993222,0.48438,0.0282396,1324.42,
audio,100,2,18,24,1.00016,0.9936,0.55098,0.0290933,1324.42,
audio,100,2,18,0,1.00026,0.9894,0.39517,0.0263277,1324.42,
audio,1,2,18,24,1,1,0.35332,0.0203501,1324.42,
audio,10,2,18,24,1.00007,0.996,0.38001,0.0211451,1324.42,
audio,20,2,18,24,1.00008,0.9965,0.37786,0.0220629,1324.42,
audio,30,2,18,24,1.00008,0.997,0.39916,0.0229705,1324.42,
audio,40,2,18,24,1.0001,0.99525,0.39818,0.0238642,1324.42,
audio,50,2,18,24,1.00012,0.9942,0.47089,0.0247467,1324.42,
audio,60,2,18,24,1.00014,0.994333,0.50848,0.0256502,1324.42,
audio,70,2,18,24,1.00016,0.994143,0.45713,0.0265259,1324.42,
audio,80,2,18,24,1.00018,0.99375,0.46798,0.0273789,1324.42,
audio,90,2,18,24,1.00017,0.993333,0.4699,0.0282525,1324.42,
audio,100,2,18,24,1.00016,0.994,0.4907,0.0290974,1324.42,
audio,100,2,18,0,1.00024,0.9896,0.52791,0.0262823,1324.42,
audio,50,2,18,0,1.00021,0.9922,0.41763,0.0263508,1324.42,
audio,1,2,18,24,1,1,0.36432,0.0203717,1324.42,
audio,10,2,18,24,1.00005,0.998,0.37963,0.0211911,1324.42,
